user_id,email,signup_date,country
u10000,frank0@example.com,2026-08-20,JP
u10001,alice1@webmail.in,2026-10-12,BR
u10002,grace2@webmail.in,2026-03-02,IN
u10003,bob3@webmail.in,2026-03-04,US
u10004,heidi4@mail.org,2026-07-20,BR
u10005,erin5@mail.org,2026-07-03,IN
u10006,alice6@mail.org,2026-01-27,US
u10007,erin7@corp.net,2026-02-17,BR
u10008,bob8@example.com,2026-02-28,BR
u10009,heidi9@corp.net,2026-06-17,JP
u10010,carol10@mail.org,2026-02-25,DE
u10011,alice11@corp.net,2026-06-24,US
u10012,bob12@example.com,2026-05-16,DE
u10013,grace13@example.com,2026-08-14,BR
u10014,bob14@corp.net,2026-03-21,IN
u10015,carol15@corp.net,2026-02-23,BR
u10016,grace16@webmail.in,2026-10-02,US
u10017,alice17@example.com,2026-02-05,IN
u10018,,2026-12-18,JP
u10019,heidi19@corp.net,2026-07-03,IN
u10020,bob20@mail.org,2026-11-13,US
u10021,grace21@corp.net,2026-10-19,JP
u10022,frank22@webmail.in,2026-06-02,US
u10023,carol23@mail.org,2026-12-24,IN
u10024,dave24@corp.net,2026-04-12,US
u10025,dave25@webmail.in,2026-07-08,IN
u10026,heidi26@example.com,2026-02-01,IN
u10027,bob27@corp.net,2026-05-08,US
u10028,heidi28@webmail.in,2026-03-08,IN
u10029,bob29@mail.org,2026-02-19,BR
u10030,grace30@mail.org,2026-07-14,IN
u10031,alice31@mail.org,2026-07-04,DE
u10032,frank32@corp.net,2026-09-05,BR
u10033,carol33@mail.org,2026-04-08,IN
u10034,bob34@corp.net,2026-08-23,DE
u10035,bob35@webmail.in,2026-12-11,US
u10036,frank36@mail.org,,US
u10037,carol37@corp.net,2026-10-22,JP
u10038,erin38@webmail.in,2026-08-10,BR
u10039,heidi39@webmail.in,2026-12-14,BR
u10040,bob40@mail.org,2026-10-23,US
u10041,alice41@example.com,2026-11-23,IN
u10042,dave42@mail.org,2026-04-20,BR
u10043,alice43@corp.net,2026-03-16,JP
u10044,grace44@corp.net,2026-02-11,JP
u10045,heidi45@corp.net,2026-08-05,IN
u10046,frank46@corp.net,2026-06-12,IN
u10047,grace47@webmail.in,2026-06-10,US
u10048,dave48@webmail.in,2026-03-12,DE
u10049,grace49@mail.org,2026-10-10,BR
u10050,alice50@mail.org,2026-05-05,US
u10051,dave51@mail.org,2026-03-23,BR
u10052,dave52@corp.net,2026-08-13,BR
u10053,carol53@corp.net,2026-02-27,BR
u10054,frank54@mail.org,2026-02-27,JP
u10055,erin55@corp.net,2026-02-05,BR
u10056,grace56@example.com,2026-07-19,JP
u10057,heidi57@webmail.in,2026-09-21,IN
u10058,alice58@webmail.in,2026-08-27,IN
u10059,erin59@example.com,,US
u10060,bob60@webmail.in,2026-08-05,US
u10061,frank61@example.com,2026-02-09,DE
u10062,alice62@example.com,2026-09-27,DE
u10063,carol63@example.com,2026-11-12,US
u10064,frank64@example.com,2026-07-15,IN
u10065,alice65@example.com,2026-04-04,US
u10066,dave66@mail.org,2026-01-25,JP
u10067,alice67@example.com,2026-02-10,IN
u10068,bob68@mail.org,2026-05-09,JP
u10069,carol69@mail.org,2026-11-23,DE
u10070,heidi70@webmail.in,2026-11-23,JP
u10071,frank71@webmail.in,2026-06-19,US
u10072,heidi72@webmail.in,2026-11-27,JP
u10073,alice73@mail.org,2026-08-02,BR
u10074,carol74@example.com,2026-02-15,IN
u10075,heidi75@example.com,2026-02-01,DE
u10076,grace76@mail.org,2026-08-25,IN
u10077,dave77@corp.net,2026-06-04,JP
u10078,bob78@mail.org,2026-01-17,BR
u10079,bob79@example.com,2026-07-02,IN
u10080,dave80@example.com,2026-09-18,JP
u10081,alice81@corp.net,2026-12-19,DE
u10082,frank82@corp.net,2026-11-14,BR
u10083,alice83@webmail.in,2026-12-24,IN
u10084,alice84@example.com,2026-01-01,JP
u10085,erin85@corp.net,2026-09-10,IN
u10086,frank86@webmail.in,2026-05-02,IN
u10087,grace87@corp.net,2026-05-25,DE
u10088,bob88@corp.net,2026-01-26,US
u10089,bob89@webmail.in,,BR
u10090,erin90@example.com,2026-08-12,BR
u10091,carol91@example.com,2026-08-14,JP
u10092,heidi92@mail.org,2026-04-22,BR
u10093,erin93@corp.net,2026-08-21,JP
u10094,bob94@corp.net,2026-06-10,IN
u10095,heidi95@webmail.in,2026-12-09,JP
u10096,grace96@example.com,2026-01-21,IN
u10097,carol97@corp.net,2026-04-24,
u10098,frank98@mail.org,2026-09-20,BR
u10099,heidi99@webmail.in,2026-10-01,DE
